Sigma(Neff),Spin-0,Spin-½,Spin-1,FORECAST,,,
0.0975,1.413E+02,1.843E+02,2.024E+02,,,,
0.0980,1.409E+02,1.837E+02,2.016E+02,,,,
0.0985,1.405E+02,1.831E+02,2.008E+02,,,,
0.0990,1.402E+02,1.825E+02,2.000E+02,,,,
0.0995,1.398E+02,1.820E+02,1.992E+02,,,,
0.1000,1.394E+02,1.814E+02,1.985E+02,,,,
0.1005,1.390E+02,1.808E+02,1.978E+02,,,,
0.1010,1.386E+02,1.803E+02,1.970E+02,,,,
0.1015,1.383E+02,1.798E+02,1.963E+02,,,,
0.1020,1.379E+02,1.792E+02,1.956E+02,,,,
0.1025,1.375E+02,1.787E+02,1.950E+02,,,,
0.1030,1.371E+02,1.782E+02,1.943E+02,,,,
0.1035,1.367E+02,1.777E+02,1.936E+02,,,,
0.1040,1.364E+02,1.772E+02,1.930E+02,,,,
0.1045,1.360E+02,1.767E+02,1.923E+02,,,,
0.1050,1.356E+02,1.762E+02,1.917E+02,,,,
0.1055,1.352E+02,1.757E+02,1.910E+02,,,,
0.1060,1.348E+02,1.752E+02,1.904E+02,,,,
0.1065,1.344E+02,1.747E+02,1.898E+02,,,,
0.1070,1.340E+02,1.743E+02,1.892E+02,,,,
0.1075,1.337E+02,1.738E+02,1.886E+02,,,,
0.1080,1.333E+02,1.734E+02,1.881E+02,,,,
0.1085,1.329E+02,1.729E+02,1.875E+02,,,,
0.1090,1.325E+02,1.725E+02,1.869E+02,,,,
0.1095,1.321E+02,1.720E+02,1.864E+02,,,,
0.1100,1.317E+02,1.716E+02,1.858E+02,,,,
0.1105,1.313E+02,1.712E+02,1.853E+02,,,,
0.1110,1.309E+02,1.707E+02,1.847E+02,,,,
0.1115,1.305E+02,1.703E+02,1.842E+02,,,,
0.1120,1.301E+02,1.699E+02,1.837E+02,,,,
0.1125,1.297E+02,1.695E+02,1.832E+02,,,,
0.1130,1.293E+02,1.691E+02,1.827E+02,,,,
0.1135,1.289E+02,1.687E+02,1.822E+02,,,,
0.1140,1.285E+02,1.683E+02,1.817E+02,,,,
0.1145,1.281E+02,1.679E+02,1.812E+02,,,,
0.1150,1.277E+02,1.675E+02,1.807E+02,,,,
0.1155,1.273E+02,1.671E+02,1.802E+02,,,,
0.1160,1.269E+02,1.667E+02,1.798E+02,,,,
0.1165,1.264E+02,1.664E+02,1.793E+02,,,,
0.1170,1.260E+02,1.660E+02,1.788E+02,,,,
0.1175,1.256E+02,1.656E+02,1.784E+02,,,,
0.1180,1.252E+02,1.652E+02,1.779E+02,,,,
0.1185,1.248E+02,1.649E+02,1.775E+02,,,,
0.1190,1.244E+02,1.645E+02,1.770E+02,,,,
0.1195,1.240E+02,1.642E+02,1.766E+02,,,,
0.1200,1.235E+02,1.638E+02,1.762E+02,,,,
0.1205,1.231E+02,1.635E+02,1.758E+02,,,,
0.1210,1.227E+02,1.631E+02,1.753E+02,,,,
0.1215,1.223E+02,1.628E+02,1.749E+02,,,,
0.1220,1.219E+02,1.624E+02,1.745E+02,,,,
0.1225,1.215E+02,1.621E+02,1.741E+02,,,,
0.1230,1.210E+02,1.618E+02,1.737E+02,,,,
0.1235,1.206E+02,1.614E+02,1.733E+02,,,,
0.1240,1.202E+02,1.611E+02,1.729E+02,,,,
0.1245,1.198E+02,1.608E+02,1.725E+02,,,,
0.1250,1.193E+02,1.605E+02,1.721E+02,,,,
0.1255,1.189E+02,1.601E+02,1.718E+02,,,,
0.1260,1.185E+02,1.598E+02,1.714E+02,,,,
0.1265,1.181E+02,1.595E+02,1.710E+02,,,,
0.1270,1.177E+02,1.592E+02,1.706E+02,,,,
0.1275,1.172E+02,1.589E+02,1.703E+02,,,,
0.1280,1.168E+02,1.586E+02,1.699E+02,,,,
0.1285,1.164E+02,1.583E+02,1.695E+02,,,,
0.1290,1.160E+02,1.580E+02,1.692E+02,,,,
0.1295,1.155E+02,1.577E+02,1.688E+02,,,,
0.1300,1.151E+02,1.574E+02,1.685E+02,,,,
0.1305,1.147E+02,1.572E+02,1.681E+02,,,,
0.1310,1.143E+02,1.569E+02,1.678E+02,,,,
0.1315,1.138E+02,1.566E+02,1.675E+02,,,,
0.1320,1.134E+02,1.564E+02,1.671E+02,,,,
0.1325,1.130E+02,1.561E+02,1.668E+02,,,,
0.1330,1.125E+02,1.559E+02,1.665E+02,,,,
0.1335,1.121E+02,1.556E+02,1.661E+02,,,,
0.1340,1.117E+02,1.554E+02,1.658E+02,,,,
0.1345,1.113E+02,1.552E+02,1.655E+02,,,,
0.1350,1.108E+02,1.549E+02,1.652E+02,,,,
0.1355,1.104E+02,1.547E+02,1.648E+02,,,,
0.1360,1.100E+02,1.545E+02,1.645E+02,,,,
0.1365,1.096E+02,1.543E+02,1.642E+02,,,,
0.1370,1.091E+02,1.541E+02,1.639E+02,,,,
0.1375,1.087E+02,1.539E+02,1.636E+02,,,,
0.1380,1.083E+02,1.537E+02,1.633E+02,,,,
0.1385,1.079E+02,1.535E+02,1.630E+02,,,,
0.1390,1.075E+02,1.533E+02,1.627E+02,,,,
