Years,DetYr,A4/ScaledDelensing,A7/ScaledDelensing,,,,,,,,,,,,,,,A4/FixedDelensing,A7/FixedDelensing,,SPO-Years
8.0,2.25E+06,3.32E-04,4.46E-04,,,,,,,,,,,,,,,3.44E-04,4.57E-04,,44.37
8.1,2.28E+06,3.29E-04,4.43E-04,,,,,,,,,,,,,,,3.43E-04,4.55E-04,,44.92
8.2,2.30E+06,3.26E-04,4.39E-04,,,,,,,,,,,,,,,3.41E-04,4.52E-04,,45.48
8.3,2.33E+06,3.24E-04,4.36E-04,,,,,,,,,,,,,,,3.40E-04,4.50E-04,,46.03
8.4,2.36E+06,3.21E-04,4.33E-04,,,,,,,,,,,,,,,3.38E-04,4.48E-04,,46.59
8.5,2.39E+06,3.19E-04,4.30E-04,,,,,,,,,,,,,,,3.37E-04,4.46E-04,,47.14
8.6,2.42E+06,3.17E-04,4.27E-04,,,,,,,,,,,,,,,3.36E-04,4.44E-04,,47.70
8.7,2.44E+06,3.14E-04,4.24E-04,,,,,,,,,,,,,,,3.34E-04,4.42E-04,,48.25
8.8,2.47E+06,3.12E-04,4.21E-04,,,,,,,,,,,,,,,3.33E-04,4.40E-04,,48.81
8.9,2.50E+06,3.10E-04,4.18E-04,,,,,,,,,,,,,,,3.32E-04,4.38E-04,,49.36
9.0,2.53E+06,3.08E-04,4.15E-04,,,,,,,,,,,,,,,3.31E-04,4.36E-04,,49.91
9.1,2.56E+06,3.06E-04,4.12E-04,,,,,,,,,,,,,,,3.30E-04,4.34E-04,,50.47
9.2,2.58E+06,3.03E-04,4.10E-04,,,,,,,,,,,,,,,3.28E-04,4.32E-04,,51.02
9.3,2.61E+06,3.01E-04,4.07E-04,,,,,,,,,,,,,,,3.27E-04,4.30E-04,,51.58
9.4,2.64E+06,2.99E-04,4.04E-04,,,,,,,,,,,,,,,3.26E-04,4.28E-04,,52.13
9.5,2.67E+06,2.97E-04,4.02E-04,,,,,,,,,,,,,,,3.25E-04,4.26E-04,,52.69
